ÁREA,DISCIPLINA,TÓPICO,NÍVEL_SUPERIOR_INDICADO,FREQUÊNCIA_EDITAIS
TRIBUNAL,Língua Portuguesa,Compreensão e interpretação de textos,Não,Comum
TRIBUNAL,Língua Portuguesa,Significado contextual e substituição de palavras,Não,Comum
TRIBUNAL,Língua Portuguesa,Vocabulário e semântica,Não,Comum
TRIBUNAL,Língua Portuguesa,Ortografia e acentuação,Não,Comum
TRIBUNAL,Língua Portuguesa,Pontuação e efeitos de sentido,Não,Comum
TRIBUNAL,Língua Portuguesa,Sintaxe: períodos e orações,Não,Comum
TRIBUNAL,Língua Portuguesa,Concordância verbal e nominal,Não,Comum
TRIBUNAL,Língua Portuguesa,Regência verbal e nominal,Não,Comum
TRIBUNAL,Língua Portuguesa,Colocação pronominal,Não,Comum
TRIBUNAL,Língua Portuguesa,Coesão textual e progressão temática,Não,Comum
TRIBUNAL,Língua Portuguesa,Estrutura argumentativa,Não,Comum
TRIBUNAL,Língua Portuguesa,Reescrita de frases,Não,Comum
TRIBUNAL,Língua Portuguesa,Variação linguística,Não,Comum
TRIBUNAL,Língua Portuguesa,Denotação e conotação,Não,Comum
TRIBUNAL,Língua Portuguesa,Figuras de linguagem,Não,Comum
TRIBUNAL,Direito Constitucional,Constituição Federal de 1988,Sim,Frequente
TRIBUNAL,Direito Constitucional,Preâmbulo e princípios fundamentais,Sim,Frequente
TRIBUNAL,Direito Constitucional,Direitos e garantias fundamentais,Sim,Frequente
TRIBUNAL,Direito Constitucional,Direitos individuais e coletivos,Sim,Frequente
TRIBUNAL,Direito Constitucional,Direitos sociais,Sim,Frequente
TRIBUNAL,Direito Constitucional,Direitos políticos,Sim,Frequente
TRIBUNAL,Direito Constitucional,Organização do Estado,Sim,Frequente
TRIBUNAL,Direito Constitucional,"União, Estados, Distrito Federal e Municípios",Sim,Frequente
TRIBUNAL,Direito Constitucional,"Poderes (Executivo, Legislativo, Judiciário)",Sim,Frequente
TRIBUNAL,Direito Constitucional,Processo Legislativo,Sim,Frequente
TRIBUNAL,Direito Constitucional,Poder Executivo,Sim,Frequente
TRIBUNAL,Direito Constitucional,Poder Judiciário,Sim,Frequente
TRIBUNAL,Direito Constitucional,Conselho Nacional de Justiça (CNJ),Sim,Frequente
TRIBUNAL,Direito Constitucional,Ministério Público,Sim,Frequente
TRIBUNAL,Direito Constitucional,Defensoria Pública,Sim,Frequente
TRIBUNAL,Direito Constitucional,Advocacia,Sim,Frequente
TRIBUNAL,Direito Constitucional,Controle de constitucionalidade,Sim,Frequente
TRIBUNAL,Direito Constitucional,Ação Direta de Inconstitucionalidade (ADI),Sim,Frequente
TRIBUNAL,Direito Constitucional,Ação Declaratória de Constitucionalidade (ADC),Sim,Frequente
TRIBUNAL,Direito Constitucional,Arguição de Descumprimento de Preceito Fundamental (ADPF),Sim,Frequente
TRIBUNAL,Direito Constitucional,Mandado de Segurança,Sim,Frequente
